Allele List,Frequency
Di10A396,0.21875
Di10A398,0.28125
Di10A400,0.03125
Di10A402,0.03125
Di2A136,0.428571429
Di2A139,0.357142857
Di2A141,0.190476191
Di24A275,0.789473684
Di24A277,0.210526316
Di24A279,0
Di6A171,0.818181818
Di8A263,0.318181818
Di8A265,0.636363636
Tet13A168,0.857142857
Tet8A247,0
Tet8A255,0.071428571
Tet8A268,0.071428571
Tri1A240,0.434782609
Tri14A138,0.5
Tri24A237,0.26
Tri24A258,0.24
Tri24A263,0.04
Tri24A266,0.1
Tri24A272,0.16
Tri4A162,0.857142857
Tri4A168,0.095238095
Tri7A120,0.391304348
Tri7A130,0.086956522
Tri7A136,0.108695652
Tri8A268,0.166666667
Tri8A271,0.611111111
Tri9A183,0.148148148
Tri9A189,0.37037037
Tri9A201,0
Di10A386,0.40625
Di6A169,0.181818182
Di6A175,0
Di8A261,0.045454545
Tet13A164,0
Tet8A239,0
Tet8A243,0.035714286
Tet8A251,0
Tet8A254,0.071428571
Tet8A264,0
Tet8A276,0
Tet8A278,0.071428571
Tet8A282,0
Tet8A287,0.107142857
Tet8A291,0.035714286
Tet8A307,0
Tri1A237,0.260869565
Tri14A132,0.115384615
Tri14A135,0.269230769
Tri24A269,0.18
Tri24A275,0.02
Tri4A146,0
Tri4A149,0.047619048
Tri4A152,0
Tri4A155,0
Tri4A165,0
Tri7A128,0.152173913
Tri7A139,0.065217391
Tri7A145,0.02173913
Tri7A154,0
Tri7A157,0
Tri8A274,0.222222222
Tri9A186,0.074074074
Tri9A192,0.074074074
Tri9A198,0.148148148
Tri9A204,0.074074074
Di10A390,0.03125
Di10A394,0
Di24A273,0
Di6A173,0
Tet13A156,0
Tet13A160,0.095238095
Tet13A172,0.047619048
Tet8A200,0
Tet8A234,0
Tet8A246,0
Tet8A250,0
Tet8A259,0.071428571
Tet8A266,0
Tet8A270,0.035714286
Tet8A272,0.071428571
Tet8A274,0.142857143
Tet8A280,0
Tet8A284,0
Tet8A299,0.107142857
Tet8A303,0
Tet8A328,0
Tri1A243,0
Tri14A141,0.038461538
Tri14A144,0
Tri4A177,0
Tri7A133,0.152173913
Tri7A142,0.02173913
Tri7A160,0
Tri9A195,0.111111111
Di2A143,0.023809524
Tet8A194,0.035714286
Tet8A295,0.035714286
Tet8A337,0.035714286
Tri1A234,0.304347826
Tri14A147,0.076923077
Di6A165,0
Tri4A180,0
Tri7A148,0
Tri9A207,0
Tet8A222,0
Tet8A258,0
Tet8A262,0
Tet8A320,0
Tri9A171,0
Tri9A210,0
Tet8A311,0
Tri4A171,0
Di6A134,0
Tet8A230,0
Tri4A130,0
